date,state,new_cases,new_fatalities,rolling_avg_cases,rolling_avg_fatalities
2020-01-21,Washington,0.0,0.0,0,0
2020-01-22,Washington,0.0,0.0,0,0
2020-01-23,Washington,0.0,0.0,0,0
2020-01-24,Illinois,0.0,0.0,0,0
2020-01-24,Washington,0.0,0.0,0,0
2020-01-25,California,0.0,0.0,0,0
2020-01-25,Illinois,0.0,0.0,0,0
2020-01-25,Washington,0.0,0.0,0,0
2020-01-26,Washington,0.0,0.0,0,0
2020-01-26,Illinois,0.0,0.0,0,0
2020-01-26,Arizona,0.0,0.0,0,0
2020-01-26,California,0.0,0.0,0,0
2020-01-27,Arizona,0.0,0.0,0,0
2020-01-27,California,0.0,0.0,0,0
2020-01-27,Illinois,0.0,0.0,0,0
2020-01-27,Washington,0.0,0.0,0,0
2020-01-28,Arizona,0.0,0.0,0,0
2020-01-28,California,0.0,0.0,0,0
2020-01-28,Illinois,0.0,0.0,0,0
2020-01-28,Washington,0.0,0.0,0,0
2020-01-29,Washington,0.0,0.0,0,0
2020-01-29,Illinois,0.0,0.0,0,0
2020-01-29,California,0.0,0.0,0,0
2020-01-29,Arizona,0.0,0.0,0,0
2020-01-30,Arizona,0.0,0.0,0,0
2020-01-30,California,0.0,0.0,0,0
2020-01-30,Illinois,1.0,0.0,0,0
2020-01-30,Washington,0.0,0.0,0,0
2020-01-31,Arizona,0.0,0.0,0,0
2020-01-31,California,0.0,0.0,0,0
2020-01-31,Illinois,0.0,0.0,0,0
2020-01-31,Washington,0.0,0.0,0,0
2020-02-01,Washington,0.0,0.0,0,0
2020-02-01,Massachusetts,0.0,0.0,0,0
2020-02-01,California,0.0,0.0,0,0
2020-02-01,Arizona,0.0,0.0,0,0
2020-02-01,Illinois,0.0,0.0,0,0
2020-02-02,Arizona,0.0,0.0,0,0
2020-02-02,California,1.0,0.0,0,0
2020-02-02,Illinois,0.0,0.0,0,0
2020-02-02,Massachusetts,0.0,0.0,0,0
2020-02-02,Washington,0.0,0.0,0,0
2020-02-03,Washington,0.0,0.0,0,0
2020-02-03,Illinois,0.0,0.0,0,0
2020-02-03,Massachusetts,0.0,0.0,0,0
2020-02-03,California,0.0,0.0,0,0
2020-02-03,Arizona,0.0,0.0,0,0
2020-02-04,Arizona,0.0,0.0,0,0
2020-02-04,California,0.0,0.0,0,0
2020-02-04,Illinois,0.0,0.0,0,0
2020-02-04,Massachusetts,0.0,0.0,0,0
2020-02-04,Washington,0.0,0.0,0,0
2020-02-05,Wisconsin,0.0,0.0,0,0
2020-02-05,Washington,0.0,0.0,0,0
2020-02-05,Massachusetts,0.0,0.0,0,0
2020-02-05,California,0.0,0.0,0,0
2020-02-05,Arizona,0.0,0.0,0,0
2020-02-05,Illinois,0.0,0.0,0,0
2020-02-06,Arizona,0.0,0.0,0,0
2020-02-06,California,0.0,0.0,0,0
2020-02-06,Illinois,0.0,0.0,0,0
2020-02-06,Massachusetts,0.0,0.0,0,0
2020-02-06,Washington,0.0,0.0,0,0
2020-02-06,Wisconsin,0.0,0.0,0,0
2020-02-07,Washington,0.0,0.0,0,0
2020-02-07,Wisconsin,0.0,0.0,0,0
2020-02-07,Massachusetts,0.0,0.0,0,0
2020-02-07,Illinois,0.0,0.0,0,0
2020-02-07,California,0.0,0.0,0,0
2020-02-07,Arizona,0.0,0.0,0,0
2020-02-08,Arizona,0.0,0.0,0,0
2020-02-08,California,0.0,0.0,0,0
2020-02-08,Illinois,0.0,0.0,0,0
2020-02-08,Massachusetts,0.0,0.0,0,0
2020-02-08,Washington,0.0,0.0,0,0
2020-02-08,Wisconsin,0.0,0.0,0,0
2020-02-09,Wisconsin,0.0,0.0,0,0
2020-02-09,Washington,0.0,0.0,0,0
2020-02-09,Massachusetts,0.0,0.0,0,0
2020-02-09,California,0.0,0.0,0,0
